NCBI Accession,Genome Name
NC_052801.1,"Herpetotheres cachinnans mitochondrion, complete genome"
NC_052800.1,"Crotophaga sulcirostris mitochondrion, complete genome"
NC_052799.1,"Todus mexicanus mitochondrion, complete genome"
NC_052798.1,"Eurystomus gularis mitochondrion, complete genome"
NC_052797.1,"Fregata magnificens mitochondrion, complete genome"
NC_052796.1,"Rhinopomastus cyanomelas mitochondrion, complete genome"
NC_052795.1,"Aramus guarauna mitochondrion, complete genome"
NC_052794.1,"Burhinus bistriatus mitochondrion, complete genome"
NC_052793.1,"Chloroceryle aenea mitochondrion, complete genome"
NC_052785.1,"Psophia crepitans mitochondrion, complete genome"
NC_052784.1,"Odontophorus gujanensis mitochondrion, complete genome"
NC_052783.1,"Amazona guildingii mitochondrion, complete genome"
NC_052782.1,"Hydrobates tethys mitochondrion, complete genome"
NC_052781.1,"Psilopogon haemacephalus mitochondrion, complete genome"
NC_052780.1,"Stercorarius parasiticus mitochondrion, complete genome"
NC_052779.1,"Bucco capensis mitochondrion, complete genome"
NC_052778.1,"Penelope pileata mitochondrion, complete genome"
NC_052777.1,"Oceanites oceanicus mitochondrion, complete genome"
NC_052776.1,"Ceuthmochares aereus mitochondrion, complete genome"
NC_052775.1,"Ardeotis kori mitochondrion, complete genome"
NC_052774.1,"Crypturellus undulatus mitochondrion, complete genome"
NC_052773.1,"Crypturellus soui mitochondrion, complete genome"
NC_052772.1,"Colius striatus mitochondrion, complete genome"
NC_052771.1,"Charadrius vociferus mitochondrion, complete genome"
NC_052767.1,"Gymnammodytes semisquamatus isolate DM866 mitochondrion, complete genome"
NC_052766.1,"Schedophilus medusophagus isolate DM860 mitochondrion, complete genome"
NC_052765.1,"Chirolophis ascanii isolate DM356 mitochondrion, complete genome"
NC_052764.1,"Centrolabrus exoletus isolate DM349 mitochondrion, complete genome"
NC_052763.1,"Echiichthys vipera isolate DM355 mitochondrion, complete genome"
NC_052762.1,"Ctenolabrus rupestris isolate DM365 mitochondrion, complete genome"
NC_052761.1,"Gobiusculus flavescens isolate DM513 mitochondrion, complete genome"
NC_052760.1,"Lesueurigobius friesii isolate DM418 mitochondrion, complete genome"
NC_052759.1,"Mullus surmuletus isolate DM358 mitochondrion, complete genome"
NC_052758.1,"Osmerus eperlanus isolate DM246 mitochondrion, complete genome"
NC_052757.1,"Neogobius melanostomus isolate DM352 mitochondrion, complete genome"
NC_052756.1,"Sarda sarda isolate DM366 mitochondrion, complete genome"
NC_052755.1,"Pholis gunnellus isolate DM248 mitochondrion, complete genome"
NC_052754.1,"Sebastes viviparus isolate DM436 mitochondrion, complete genome"
NC_052753.1,"Zeugopterus punctatus isolate DM354 mitochondrion, complete genome"
NC_052750.1,"Panulirus penicillatus mitochondrion, complete genome"
NC_052749.1,"Panulirus longipes mitochondrion, complete genome"
NC_052743.1,"Stichopus monotuberculatus mitochondrion, complete genome"
NC_052742.1,"Ophiura kinbergi mitochondrion, complete genome"
NC_052734.1,"Oedaleus manjius mitochondrion, complete genome"
NC_052733.1,"Filchnerella rubrimargina mitochondrion, complete genome"
NC_052732.1,"Epacromius coerulipes mitochondrion, complete genome"
NC_052731.1,"Bryodema kozlovi mitochondrion, complete genome"
NC_052726.1,"Chionoecetes japonicus voucher SUC19351 mitochondrion, complete genome"
NC_052725.1,"Chionoecetes japonicus x Chionoecetes opilio voucher SUC19350 mitochondrion, complete genome"
NC_052722.1,"Chromis notata mitochondrion, complete genome"
NC_052721.1,"Pharyngocirrus uchidai mitochondrion, complete genome"
NC_052720.1,"Bathytoshia brevicaudata mitochondrion, complete genome"
NC_052717.1,"Stenocatantops mistshenkoi mitochondrion, complete genome"
NC_052716.1,"Sinopodisma rostellocerca mitochondrion, complete genome"
NC_052715.1,"Anapodisma miramae mitochondrion, complete genome"
NC_052711.1,"Diopsittaca nobilis mitochondrion, complete genome"
NC_052710.1,"Hypostomus ancistroides voucher LaGEEvo - 1914 mitochondrion, complete genome"
NC_052705.1,"Doleschallia melana mitochondrion, complete genome"
NC_052701.1,"Tachypleus gigas mitochondrion, complete genome"
NC_052699.1,"Culter alburnus x Megalobrama terminalis mitochondrion, complete genome"
NC_052698.1,"Phyllidiopsis krempfi mitochondrion, complete genome"
NC_052695.1,"Tropidocephala brunnipennis mitochondrion, complete genome"
NC_052694.1,"Perkinsiella saccharicida mitochondrion, complete genome"
NC_052693.1,"Ishiharodelphax matsuyamensis mitochondrion, complete genome"
NC_052692.1,"Epeurysa nawaii voucher NWHYX-0002 mitochondrion, complete genome"
NC_052691.1,"Chloriona tateyamana mitochondrion, complete genome"
NC_052690.1,"Bambusiphaga taibaishana mitochondrion, complete genome"
NC_052689.1,"Bambusiphaga furca mitochondrion, complete genome"
NC_052688.1,"Soriculus nigrescens mitochondrion, complete genome"
NC_052687.1,"Polygonia c-aureum mitochondrion, complete genome"
NC_052013.1,"Cinclosoma castanotum voucher B38006 mitochondrion, complete genome"
NC_052012.1,"Cinclosoma clarum voucher B31224 mitochondrion, complete genome"
NC_052011.1,"Cinclosoma punctatum voucher B29240 mitochondrion, complete genome"
NC_052010.1,"Scyllarides haanii mitochondrion, complete genome"
NC_051998.1,"Linguatula arctica mitochondrion, complete genome"
NC_051996.1,"Platynereis massiliensis mitochondrion, complete genome"
NC_051995.1,"Platynereis bicanaliculata mitochondrion, complete genome"
NC_051994.1,"Perinereis cultrifera mitochondrion, complete genome"
NC_051993.1,"Alitta succinea mitochondrion, complete genome"
NC_051985.1,"Reticuluma hamata mitochondrion, complete genome"
NC_051984.1,"Dario dario mitochondrion, complete genome"
NC_051983.1,"Nematobrycon palmeri mitochondrion, complete genome"
NC_051981.1,"Setipinna tenuifilis mitochondrion, complete genome"
NC_051975.1,"Melanostoma orientale mitochondrion, complete genome"
NC_051968.1,"Chinapotamon maolanense mitochondrion, complete genome"
NC_051967.1,"Pseudocolochirus violaceus mitochondrion, complete genome"
NC_051965.1,"Microphysogobio tungtingensis mitochondrion, complete genome"
NC_051963.1,"Ancistrus temminckii mitochondrion, complete genome"
NC_051962.1,"Cancer pagurus mitochondrion, complete genome"
NC_051953.1,"Pelobates fuscus isolate DM1190 mitochondrion, complete genome"
NC_051948.1,"Chorocaris paulexa mitochondrion, complete genome"
NC_051945.1,"Olenecamptus bilobus strain fentianniu mitochondrion, complete genome"
NC_051944.1,"Epipedocera atra strain heimeitianniu mitochondrion, complete genome"
NC_051943.1,"Deporaus marginatus strain mangguoqieyexiangjia mitochondrion, complete genome"
NC_051942.1,"Chrysocoris stollii strain zilidunchun mitochondrion, complete genome"
NC_051941.1,"Squalidus longifilis mitochondrion, complete genome"
NC_051940.1,"Squalidus mantschuricus mitochondrion, complete genome"
NC_051939.1,"Cucujus kempi voucher 04_cucujid mitochondrion, complete genome"
NC_051938.1,"Cucujus mniszechi voucher 03_cucujid mitochondrion, complete genome"
NC_051937.1,"Platisus moerosus voucher 10_cucujid mitochondrion, complete genome"
NC_051936.1,"Platisus angusticollis voucher 6499_cucujid mitochondrion, complete genome"
NC_051935.1,"Thesaurus albertalleni voucher 28_cucujid mitochondrion, complete genome"
NC_051934.1,"Palaestes abruptus voucher 22_cucujid mitochondrion, complete genome"
NC_051933.1,"Hymaea magna voucher 31_cucujid mitochondrion, complete genome"
NC_051932.1,"Apis mellifera haplotype Arabia-mK-Z-111 mitochondrion, complete genome"
NC_051931.1,"Grammatorcynus bilineatus mitochondrion, complete genome"
NC_051930.1,"Thor amboinensis mitochondrion, complete genome"
NC_051929.1,"Colochirus quadrangularis mitochondrion, complete genome"
NC_051928.1,"Holothuria edulis mitochondrion, complete genome"
NC_051927.1,"Brycon nattereri voucher LAGEEVO_3928 mitochondrion, complete genome"
NC_051892.1,"Arria pallida mitochondrion, complete genome"
NC_051891.1,"Argyra pingwuensis mitochondrion, complete genome"
NC_051889.1,"Rivularia auriculata mitochondrion, complete genome"
NC_051886.1,"Myzornis pyrrhoura mitochondrion, complete genome"
NC_051884.1,"Carangoides plagiotaenia mitochondrion, complete genome"
NC_051875.1,"Elephantulus revoilii voucher CAS:MAM:32723 mitochondrion, complete genome"
NC_051869.1,"Diaphanes citrinus mitochondrion, complete genome"
NC_051868.1,"Perisesarma bidens mitochondrion, complete genome"
NC_051867.1,"Sinopodisma pieli mitochondrion, complete genome"
NC_051866.1,"Zeuzera multistrigata mitochondrion, complete genome"
NC_051865.1,"Chalcidica minea mitochondrion, complete genome"
NC_051562.1,"Arma custos voucher HEM047 mitochondrion, complete genome"
NC_051558.1,"Nucifraga caryocatactes mitochondrion, complete genome"
NC_051555.1,"Pieris napi mitochondrion, complete genome"
NC_051552.1,"Acanthorhynchus tenuirostris mitochondrion, complete genome"
NC_051551.1,"Anthalia sp. YD3030 mitochondrion, complete genome"
NC_051549.1,"Coenomyia ferruginea mitochondrion, complete genome"
NC_051548.1,"Aclees cribratus mitochondrion, complete genome"
NC_051547.1,"Betta mahachaiensis voucher THNHM-F 21090 mitochondrion, complete genome"
NC_051545.1,"Hapalochlaena fasciata voucher MABIK MO00176321 mitochondrion, complete genome"
NC_051539.1,"Metidiocerus sp. ZB-2019 voucher IMNU2019070603 mitochondrion, complete genome"
NC_051538.1,"Carpodacus pulcherrimus mitochondrion, complete genome"
NC_051537.1,"Sarcophaga kanoi mitochondrion, complete genome"
NC_051536.1,"Sarcophaga scopariiformis mitochondrion, complete genome"
NC_051534.1,"Sternoptyx diaphana mitochondrion, complete genome"
NC_051530.1,"Macrostemum floridum mitochondrion, complete genome"
NC_051529.1,"Stenopsyche angustata mitochondrion, complete genome"
NC_051528.1,"Tituria sagittata mitochondrion, complete genome"
NC_051527.1,"Petalocephala chlorophana mitochondrion, complete genome"
NC_051526.1,"Seicercus examinandus isolate 8 mitochondrion, complete genome"
NC_051525.1,"Penthimia melanocephala mitochondrion, complete genome"
NC_051522.1,"Yasuhikotakia eos mitochondrion, complete genome"
NC_051519.1,"Stenocephalemys zimai voucher JCU_ETH0637 mitochondrion, complete genome"
NC_051518.1,"Stenocephalemys albocaudata voucher ZMMU_s-190506 mitochondrion, complete genome"
NC_051517.1,"Stenocephalemys griseicauda voucher JCU_ETH0116 mitochondrion, complete genome"
NC_051516.1,"Stenocephalemys sokolovi voucher JCU_ETH1273 mitochondrion, complete genome"
NC_051515.1,"Stenocephalemys ruppi voucher ZMMU_s-181699 mitochondrion, complete genome"
NC_051514.1,"Stenocephalemys albipes voucher JCU_ETH0004 mitochondrion, complete genome"
NC_051513.1,"Sitta villosa mitochondrion, complete genome"
NC_051505.1,"Pterocryptis anomala isolate Yizhou mitochondrion, complete genome"
NC_051499.1,"Ilisha striatula mitochondrion, complete genome"
NC_051497.1,"Pomacentrus moluccensis mitochondrion, complete genome"
NC_051496.1,"Ricania shantungensis mitochondrion, complete genome"
NC_051495.1,"Epanerchodus koreanus mitochondrion, complete genome"
NC_051492.1,"Leptopeza flavipes mitochondrion, complete genome"
NC_051491.1,"Pedetontus zhejiangensis mitochondrion, complete genome"
NC_051490.1,"Pliacanthopus bimaculatus mitochondrion, complete genome"
NC_051489.1,"Rhombodera longa mitochondrion, complete genome"
NC_051488.1,"Paedocypris carbunculus voucher USMFC(95)00002 mitochondrion, complete genome"
NC_051487.1,"Paedocypris micromegethes voucher USMFC(95)00001 mitochondrion, complete genome"
NC_051486.1,"Monomorium pharaonis mitochondrion, complete genome"
NC_051485.1,"Habropoda radoszkowskii mitochondrion, complete genome"
NC_051484.1,"Nomia chalybeata mitochondrion, complete genome"
NC_051482.1,"Chelonoidis microphyes mitochondrion, complete genome"
NC_051481.1,"Chelonoidis vandenburghi mitochondrion, complete genome"
NC_051480.1,"Chelonoidis guntheri mitochondrion, complete genome"
NC_051479.1,"Chelonoidis vicina mitochondrion, complete genome"
NC_051478.1,"Chelonoidis porteri mitochondrion, complete genome"
NC_051477.1,"Chelonoidis duncanensis mitochondrion, complete genome"
NC_051476.1,"Chelonoidis hoodensis mitochondrion, complete genome"
NC_051475.1,"Chelonoidis donfaustoi mitochondrion, complete genome"
NC_051474.1,"Chelonoidis darwini mitochondrion, complete genome"
NC_051473.1,"Chelonoidis becki mitochondrion, complete genome"
NC_051472.1,"Chelonoidis abingdonii mitochondrion, complete genome"
NC_051471.1,"Corvus moneduloides mitochondrion, complete genome"
NC_051470.1,"Xiphorhynchus elegans mitochondrion, complete genome"
NC_051469.1,"Nesospiza acunhae mitochondrion, complete genome"
NC_051468.1,"Molothrus ater mitochondrion, complete genome"
NC_051467.1,"Aphelocoma coerulescens mitochondrion, complete genome"
NC_051466.1,"Rhegmatorhina hoffmannsi mitochondrion, complete genome"
NC_051465.1,"Sporophila hypoxantha mitochondrion, complete genome"
NC_051464.1,"Pomatostomus ruficeps mitochondrion, complete genome"
NC_051463.1,"Pitta sordida mitochondrion, complete genome"
NC_051462.1,"Gymnorhina tibicen mitochondrion, complete genome"
NC_051460.1,"Encyrtus rhodococcusiae isolate E7-047A mitochondrion, complete genome"
NC_051459.1,"Encyrtus eulecaniumiae isolate E7-050A mitochondrion, complete genome"
NC_051458.1,"Encyrtus sasakii voucher 11-021 mitochondrion, complete genome"
NC_051454.1,"Ectenagena elongata mitochondrion, complete genome"
NC_051038.1,"Ploceus nigricollis mitochondrion, complete genome"
NC_051037.1,"Cinclus mexicanus mitochondrion, complete genome"
NC_051036.1,"Oenanthe oenanthe mitochondrion, complete genome"
NC_051035.1,"Pachyramphus minor mitochondrion, complete genome"
NC_051034.1,"Dyaphorophyia castanea mitochondrion, complete genome"
NC_051033.1,"Hylia prasina mitochondrion, complete genome"
NC_051032.1,"Thryothorus ludovicianus mitochondrion, complete genome"
NC_051031.1,"Polioptila caerulea mitochondrion, complete genome"
NC_051030.1,"Lanius ludovicianus mitochondrion, complete genome"
NC_051029.1,"Rhipidura dahli mitochondrion, complete genome"
NC_051028.1,"Dicrurus megarhynchus mitochondrion, complete genome"
NC_051027.1,"Setophaga kirtlandii mitochondrion, complete genome"
NC_051026.1,"Formicarius rufipectus mitochondrion, complete genome"
NC_051025.1,"Tyrannus savana mitochondrion, complete genome"
NC_051024.1,"Leptocoma aspasia mitochondrion, complete genome"
NC_051023.1,"Dicaeum eximium mitochondrion, complete genome"
NC_051022.1,"Myiagra hebetior mitochondrion, complete genome"
NC_051021.1,"Quiscalus mexicanus mitochondrion, complete genome"
NC_051020.1,"Rhabdornis inornatus mitochondrion, complete genome"
NC_051019.1,"Pachycephala philippinensis mitochondrion, complete genome"
NC_051018.1,"Irena cyanogastra mitochondrion, complete genome"
NC_051017.1,"Edolisoma coerulescens mitochondrion, complete genome"
NC_051016.1,"Vireo altiloquus mitochondrion, complete genome"
NC_051015.1,"Loxia leucoptera mitochondrion, complete genome"
NC_051014.1,"Regulus satrapa mitochondrion, complete genome"
NC_051013.1,"Catharus fuscescens mitochondrion, complete genome"
NC_051012.1,"Campylorhamphus procurvoides mitochondrion, complete genome"
NC_051011.1,"Sakesphorus luctuosus mitochondrion, complete genome"
NC_051010.1,"Sclerurus mexicanus mitochondrion, complete genome"
NC_051009.1,"Grallaria varia mitochondrion, complete genome"
NC_051008.1,"Cephalopterus ornatus mitochondrion, complete genome"
NC_051007.1,"Chaetorhynchus papuensis mitochondrion, complete genome"
NC_051006.1,"Ptilorrhoa leucosticta mitochondrion, complete genome"
NC_051005.1,"Tachuris rubrigastra mitochondrion, complete genome"
NC_051004.1,"Acanthisitta chloris mitochondrion, complete genome"
NC_051001.1,"Hemerobius spodipennis mitochondrion, complete genome"
NC_050997.1,"Cletus punctiger mitochondrion, complete genome"
NC_050995.1,"Lasionycteris noctivagans isolate lano1 mitochondrion, complete genome"
NC_050994.1,"Tupaia splendidula isolate UMMZ174429 mitochondrion, complete genome"
NC_050993.1,"Tupaia minor isolate BOR423 mitochondrion, complete genome"
NC_050992.1,"Tupaia tana isolate BOR010 mitochondrion, complete genome"
NC_050989.1,"Villorita cyprinoides mitochondrion, complete genome"
NC_050988.1,"Antechinus arktos voucher AA100 mitochondrion, complete genome"
NC_050987.1,"Littorina brevicula mitochondrion, complete genome"
NC_050983.1,"Lepus oiostolus mitochondrion, complete genome"
NC_050982.1,"Populicerus confusus mitochondrion, complete genome"
NC_050979.1,"Balitora ludongensis mitochondrion, complete genome"
NC_050978.1,"Prolixicheilus longisulcus mitochondrion, complete genome"
NC_050976.1,"Anax parthenope mitochondrion, complete genome"
NC_050973.1,"Anas penelope mitochondrion, complete genome"
NC_050969.1,"Syrphus vitripennis mitochondrion, complete genome"
NC_050968.1,"Melanostoma scalare mitochondrion, complete genome"
NC_050964.1,"Inimicus japonicus mitochondrion, complete genome"
NC_050961.1,"Pseudocrangonyx joolaei mitochondrion, complete genome"
NC_050947.1,"Hotaria unmunsana voucher CNU12790 mitochondrion, complete genome"
NC_050942.1,"Hamamelistes spinosus mitochondrion, complete genome"
NC_050938.1,"Ectophasia rotundiventris mitochondrion, complete genome"
NC_050933.1,"Chrysomela vigintipunctata mitochondrion, complete genome"
NC_050932.1,"Eristalis cerealis mitochondrion, complete genome"
NC_050930.1,"Crenidorsum turpiniae mitochondrion, complete genome"
NC_050921.1,"Cynoglossus nanhaiensis mitochondrion, complete genome"
NC_050918.1,"Prosthogonimus cuneatus mitochondrion, complete genome"
NC_050916.1,"Lethe verma mitochondrion, complete genome"
NC_050915.1,"Lethe uemurai mitochondrion, complete genome"
NC_050914.1,"Lethe titania mitochondrion, complete genome"
NC_050913.1,"Lethe syrcis mitochondrion, complete genome"
NC_050912.1,"Lethe satyrina mitochondrion, complete genome"
NC_050911.1,"Lethe oculatissima mitochondrion, complete genome"
NC_050910.1,"Lethe nigrifascia mitochondrion, complete genome"
NC_050909.1,"Lethe marginalis mitochondrion, complete genome"
NC_050908.1,"Lethe helle mitochondrion, complete genome"
NC_050907.1,"Lethe hayashii mitochondrion, complete genome"
NC_050906.1,"Lethe baucis mitochondrion, complete genome"
NC_050905.1,"Lethe baileyi mitochondrion, complete genome"
NC_050904.1,"Hyalopterus pruni mitochondrion, complete genome"
NC_050894.1,"Pareas boulengeri mitochondrion, complete genome"
NC_050893.1,"Trigonopterus porg voucher MZB0043-m mitochondrion, complete genome"
NC_050892.1,"Trigonopterus kotamobagensis voucher ARC2888 mitochondrion, complete genome"
NC_050891.1,"Trigonopterus carinirostris voucher ARC3221 mitochondrion, complete genome"
NC_050890.1,"Trigonopterus singkawangensis voucher ARC2547 mitochondrion, complete genome"
NC_050889.1,"Trigonopterus triradiatus voucher MZB0029-m mitochondrion, complete genome"
NC_050888.1,"Trigonopterus jasminae voucher ARC2804 mitochondrion, complete genome"
NC_050887.1,"Trigonopterus tanimbarensis voucher MZB0028-m mitochondrion, complete genome"
NC_050886.1,"Trigonopterus selaruensis voucher MZB0023-m mitochondrion, complete genome"
NC_050885.1,"Pseudoscaphirhynchus kaufmanni mitochondrion, complete genome"
NC_050884.1,"Odorrana graminea mitochondrion, complete genome"
NC_050883.1,"Sapajus flavius mitochondrion, complete genome"
NC_050880.1,"Subclytia rotundiventris voucher BFU14C6-5 mitochondrion, complete genome"
NC_050876.1,"Hyphessobrycon herbertaxelrodi mitochondrion, complete genome"
NC_050875.1,"Triceratopyga calliphoroides mitochondrion, complete genome"
NC_050874.1,"Tuta absoluta mitochondrion, complete genome"
NC_050864.1,"Chroicocephalus brunnicephalus mitochondrion, complete genome"
NC_050863.1,"Cervus canadensis isolate 19FC017 mitochondrion, complete genome"
NC_050856.1,"Macrosoma conifera mitochondrion, complete genome"
NC_050855.1,"Nephus oblongosignatus voucher NeOlo1 mitochondrion, complete genome"
NC_050854.1,"Mylabris calida mitochondrion, complete genome"
NC_050852.1,"Omosita colon mitochondrion, complete genome"
NC_050851.1,"Prosopocoilus astacoides mitochondrion, complete genome"
NC_050836.1,"Semibalanus cariosus mitochondrion, complete genome"
NC_050835.1,"Mesembrinibis cayennensis mitochondrion, complete genome"
NC_050743.1,"Pseudodendrothrips mori mitochondrion, complete genome"
NC_050742.1,"Natula pravdini mitochondrion, complete genome"
NC_050740.1,"Molva dypterygia voucher ZMUB:21948 mitochondrion, complete genome"
NC_050696.1,"Libellula angelina mitochondrion, complete genome"
NC_050695.1,"Trachypenaeus curvirostris mitochondrion, complete genome"
NC_050692.1,"Mallika jacksoni mitochondrion, complete genome"
NC_050691.1,"Kallimoides rumia mitochondrion, complete genome"
NC_050688.1,"Ptilorrhoa caerulescens voucher B27057 mitochondrion, complete genome"
NC_050686.1,"Taku spinosocarinatus mitochondrion, complete genome"
NC_050685.1,"Notothenia rossii mitochondrion, complete genome"
NC_050683.1,"Tridacna gigas mitochondrion, complete genome"
NC_050682.1,"Callithrix aurita mitochondrion, complete genome"
NC_050680.1,"Erythrura gouldiae mitochondrion, complete genome"
NC_050679.1,"Hediste japonica mitochondrion, complete genome"
NC_050677.1,"Saron marmoratus mitochondrion, complete genome"
NC_050676.1,"Lysmata amboinensis mitochondrion, complete genome"
NC_050675.1,"Metacarcinus magister mitochondrion, complete genome"
NC_050665.1,"Bufotes variabilis isolate DM1061 mitochondrion, complete genome"
NC_050664.1,"Tropidophorus hangnam mitochondrion, complete genome"
NC_050662.1,"Tanea lineata mitochondrion, complete genome"
NC_050661.1,"Paratectonatica tigrina mitochondrion, complete genome"
NC_050653.1,"Osmylus fulvicephalus mitochondrion, complete genome"
NC_050649.1,"Araschnia levana mitochondrion, complete genome"
NC_050647.1,"Squalidus chankaensis mitochondrion, complete genome"
NC_050569.1,"Lepus yarkandensis mitochondrion, complete genome"
NC_050329.1,"Triatoma sanguisuga mitochondrion, complete genome"
NC_050325.1,"Triatoma huehuetenanguensis mitochondrion, complete genome"
NC_050401.1,"Saurogobio lissilabris mitochondrion, complete genome"
NC_050400.1,"Saurogobio gymnocheilus mitochondrion, complete genome"
NC_050399.1,"Saurogobio xiangjiangensis mitochondrion, complete genome"
NC_050398.1,"Saurogobio gracilicaudatus mitochondrion, complete genome"
NC_050397.1,"Megalobrama amblycephala x Elopichthys bambusa mitochondrion, complete genome"
NC_050393.1,"Pagodroma nivea mitochondrion, complete genome"
NC_050392.1,"Syndesmis echinorum isolate DH_10 mitochondrion, complete genome"
NC_050390.1,"Graffilla buccinicola isolate 2_E1 mitochondrion, complete genome"
NC_050387.1,"Malaza fastuosus voucher NHMUK:010621353 mitochondrion, complete genome"
NC_050386.1,"Coenobita brevimanus mitochondrion, complete genome"
NC_050385.1,"Spilosoma lubricipeda mitochondrion, complete genome"
NC_050383.1,"Elaphodus cephalophus cephalophus mitochondrion, complete genome"
NC_050328.1,"Rhodnius prolixus mitochondrion, complete genome"
NC_050327.1,"Triatoma mazzottii mitochondrion, complete genome"
NC_050326.1,"Triatoma lecticularia mitochondrion, complete genome"
NC_050324.1,"Triatoma mexicana mitochondrion, complete genome"
NC_050323.1,"Cataclysta lemnata isolate DM1232 mitochondrion, complete genome"
NC_050322.1,"Protonemura meyeri isolate DM1305 mitochondrion, complete genome"
NC_050321.1,"Phryganea bipunctata isolate DM1268 mitochondrion, complete genome"
NC_050320.1,"Simulium noelleri isolate DM1265 mitochondrion, complete genome"
NC_050319.1,"Tipula fascipennis isolate DM766 mitochondrion, complete genome"
NC_050318.1,"Acnemia nitidicollis isolate DM752 mitochondrion, complete genome"
NC_050317.1,"Hylemya vagans isolate DM814 mitochondrion, complete genome"
NC_050316.1,"Norellisoma spinimanum isolate DM846 mitochondrion, complete genome"
NC_050315.1,"Ptychoptera minuta isolate DM910 mitochondrion, complete genome"
NC_050314.1,"Orthonevra geniculata isolate DM948 mitochondrion, complete genome"
NC_050313.1,"Elodes minuta isolate DM1234 mitochondrion, complete genome"
NC_050312.1,"Pegoplata infirma isolate DM976 mitochondrion, complete genome"
NC_050311.1,"Potamophylax latipennis isolate DM1249 mitochondrion, complete genome"
NC_050310.1,"Eubranchipus grubii isolate DM1183 mitochondrion, complete genome"
NC_050309.1,"Praia tianmunica (nom. nud.) mitochondrion, complete genome"
NC_050299.1,"Hirundo albigularis mitochondrion, complete genome"
NC_050298.1,"Delichon urbicum mitochondrion, complete genome"
NC_050297.1,"Hirundo rustica tytleri voucher NB021 mitochondrion, complete genome"
NC_050295.1,"Hirundo rustica transitiva mitochondrion, complete genome"
NC_050294.1,"Caryopemon giganteus mitochondrion, complete genome"
NC_050293.1,"Hirundo aethiopica voucher B-27162 mitochondrion, complete genome"
NC_050291.1,"Hirundo nigrita mitochondrion, complete genome"
NC_050290.1,"Hirundo neoxena voucher B-23632, Louisiana State University mitochondrion, complete genome"
NC_050289.1,"Alcippe vinipectus mitochondrion, complete genome"
NC_050288.1,"Hirundo dimidiata voucher B-14124 mitochondrion, complete genome"
NC_050287.1,"Hirundo angolensis mitochondrion, complete genome"
NC_050286.1,"Hirundo smithii mitochondrion, complete genome"
NC_050284.1,"Torleya nepalica mitochondrion, complete genome"
NC_050283.1,"Torleya grandiforceps mitochondrion, complete genome"
NC_050282.1,"Serratella zapekinae mitochondrion, complete genome"
NC_050281.1,"Serratella sp. Yunnan-2018 mitochondrion, complete genome"
NC_050280.1,"Serratella sp. Liaoning-2019 mitochondrion, complete genome"
NC_050279.1,"Ephemerella sp. Yunnan-2018 mitochondrion, complete genome"
NC_050278.1,"Hirundo atrocaerulea voucher Chicago Field Museum 467951 mitochondrion, complete genome"
NC_050276.1,"Colobocentrotus mertensii voucher KNZ-OKN19 mitochondrion, complete genome"
NC_050275.1,"Pseudoboletia maculata voucher KNZ-KUC33 mitochondrion, complete genome"
NC_050274.1,"Echinothrix calamaris voucher KNZ-KUC07 mitochondrion, complete genome"
NC_050273.1,"Stylocidaris reini voucher KNZ-KMR12 mitochondrion, complete genome"
NC_050272.1,"Prionocidaris baculosa voucher KNZ-KMR05 mitochondrion, complete genome"
NC_050271.1,"Caecobarbus geertsii mitochondrion, complete genome"
NC_050266.1,"Palaemon serratus mitochondrion, complete genome"
NC_050265.1,"Lagenorhynchus acutus isolate DM340 mitochondrion, complete genome"
NC_050264.1,"Muscardinus avellanarius isolate DM333 mitochondrion, complete genome"
NC_050263.1,"Hystrix brachyura mitochondrion, complete genome"
NC_050262.1,"Manayunkia occidentalis mitochondrion, complete genome"
NC_050261.1,"Issoria eugenia mitochondrion, complete genome"
NC_050259.1,"Erythrogenys gravivox dedekensi mitochondrion, complete genome"
NC_050258.1,"Drabescus ineffectus mitochondrion, complete genome"
NC_050257.1,"Roxasellana stellata mitochondrion, complete genome"
NC_050256.1,"Nabis ferus mitochondrion, complete genome"
NC_050255.1,"Amblyomma ovale mitochondrion, complete genome"
NC_050252.1,"Eucidaris tribuloides isolate ETRI.00-1 mitochondrion, complete genome"
NC_050197.1,"Vespa mandarinia isolate Nanaimo mitochondrion, complete genome"
NC_050168.1,"Palaemon adspersus mitochondrion, complete genome"
NC_050167.1,"Nysius fuscovittatus mitochondrion, complete genome"
NC_050166.1,"Palomena viridissima mitochondrion, complete genome"
NC_050164.1,"Sphyraena pinguis mitochondrion, complete genome"
NC_050160.1,"Microphis deocata mitochondrion, complete genome"
NC_050066.1,"Monochamus alternatus alternatus mitochondrion, complete genome"
NC_050060.1,"Lelecella limenitoides mitochondrion, complete genome"
NC_050058.1,"Popenaias popeii isolate BIV2451 voucher 067TS mitochondrion, complete genome"
NC_050057.1,"Pleurobema oviforme isolate BIV1946 voucher NCSM30708.1 mitochondrion, complete genome"
NC_050056.1,"Amblema plicata isolate BIV2448 voucher 061TS mitochondrion, complete genome"
NC_050050.1,"Obrimoposthia wandeli mitochondrion, complete genome"
NC_050049.1,"Centropus bengalensis mitochondrion, complete genome"
NC_050045.1,"Cyclograpsus intermedius mitochondrion, complete genome"
NC_050044.1,"Aedes flavopictus mitochondrion, complete genome"
NC_050034.1,"Sciurus griseus voucher MSB40646 mitochondrion, complete genome"
NC_050033.1,"Sciurus lis voucher USNM140867 mitochondrion, complete genome"
